Metric Name,Title,Value,extraction_datetime,extraction_date,extraction_year,extraction_month,extraction_day,extraction_time
reach,Accounts reached,2096,2025-04-01 16:52:19.984178,2025-04-01,2025,April,1,16:52:19
website_clicks,Website link taps,2,2025-04-01 16:52:19.984178,2025-04-01,2025,April,1,16:52:19
profile_views,Profile visits,110,2025-04-01 16:52:19.984178,2025-04-01,2025,April,1,16:52:19
total_interactions,Content interactions,266,2025-04-01 16:52:19.984178,2025-04-01,2025,April,1,16:52:19
likes,Likes,226,2025-04-01 16:52:19.984178,2025-04-01,2025,April,1,16:52:19
comments,Comments,16,2025-04-01 16:52:19.984178,2025-04-01,2025,April,1,16:52:19
shares,Shares,12,2025-04-01 16:52:19.984178,2025-04-01,2025,April,1,16:52:19
saves,Saves,8,2025-04-01 16:52:19.984178,2025-04-01,2025,April,1,16:52:19
replies,Replies,4,2025-04-01 16:52:19.984178,2025-04-01,2025,April,1,16:52:19
views,Views,4001,2025-04-01 16:52:19.984178,2025-04-01,2025,April,1,16:52:19
follows_and_unfollows,Follows and unfollows,0,2025-04-01 16:52:19.984178,2025-04-01,2025,April,1,16:52:19
profile_links_taps,Profile links taps,0,2025-04-01 16:52:19.984178,2025-04-01,2025,April,1,16:52:19
reach,Accounts reached,1364,2025-04-02 16:52:40.950569,2025-04-02,2025,April,2,16:52:40
website_clicks,Website link taps,3,2025-04-02 16:52:40.950569,2025-04-02,2025,April,2,16:52:40
profile_views,Profile visits,110,2025-04-02 16:52:40.950569,2025-04-02,2025,April,2,16:52:40
total_interactions,Content interactions,303,2025-04-02 16:52:40.950569,2025-04-02,2025,April,2,16:52:40
likes,Likes,255,2025-04-02 16:52:40.950569,2025-04-02,2025,April,2,16:52:40
comments,Comments,17,2025-04-02 16:52:40.950569,2025-04-02,2025,April,2,16:52:40
shares,Shares,12,2025-04-02 16:52:40.950569,2025-04-02,2025,April,2,16:52:40
saves,Saves,10,2025-04-02 16:52:40.950569,2025-04-02,2025,April,2,16:52:40
replies,Replies,9,2025-04-02 16:52:40.950569,2025-04-02,2025,April,2,16:52:40
views,Views,3326,2025-04-02 16:52:40.950569,2025-04-02,2025,April,2,16:52:40
follows_and_unfollows,Follows and unfollows,0,2025-04-02 16:52:40.950569,2025-04-02,2025,April,2,16:52:40
profile_links_taps,Profile links taps,0,2025-04-02 16:52:40.950569,2025-04-02,2025,April,2,16:52:40
reach,Accounts reached,1468,2025-04-03 16:53:02.559031,2025-04-03,2025,April,3,16:53:02
website_clicks,Website link taps,1,2025-04-03 16:53:02.559031,2025-04-03,2025,April,3,16:53:02
profile_views,Profile visits,83,2025-04-03 16:53:02.559031,2025-04-03,2025,April,3,16:53:02
total_interactions,Content interactions,295,2025-04-03 16:53:02.559031,2025-04-03,2025,April,3,16:53:02
likes,Likes,254,2025-04-03 16:53:02.559031,2025-04-03,2025,April,3,16:53:02
comments,Comments,11,2025-04-03 16:53:02.559031,2025-04-03,2025,April,3,16:53:02
